               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.016928,           0.0050835,           0.0023878,             0.99716,             0.99952,               0.995,             0.94129,           0.0030992,           0.0015365,          0.00018967,              0.0034,              0.0034,              0.0034
                 102,            0.018897,            0.004934,           0.0019546,             0.99537,                   1,               0.995,             0.93658,           0.0025686,           0.0014739,          0.00017434,            0.003334,            0.003334,            0.003334
                 103,            0.015764,           0.0048687,           0.0014009,             0.99527,             0.99986,               0.995,             0.93872,           0.0024547,           0.0013901,          0.00015819,            0.003268,            0.003268,            0.003268
                 104,             0.01784,           0.0051486,           0.0019857,             0.99582,                   1,               0.995,              0.9418,           0.0025076,           0.0014272,          0.00014874,            0.003202,            0.003202,            0.003202
                 105,            0.017615,           0.0050589,           0.0016475,             0.99599,                   1,               0.995,             0.94268,           0.0024823,           0.0013557,          0.00015046,            0.003136,            0.003136,            0.003136
                 106,            0.016788,           0.0046454,           0.0012981,             0.99594,                   1,               0.995,             0.94192,           0.0026938,           0.0013614,          0.00014846,             0.00307,             0.00307,             0.00307
                 107,            0.015501,           0.0049571,           0.0014818,              0.9963,             0.99938,               0.995,             0.94788,           0.0023375,            0.001353,          0.00014909,            0.003004,            0.003004,            0.003004
                 108,             0.01632,           0.0049699,           0.0016967,             0.99582,             0.99884,               0.995,             0.94563,           0.0022047,            0.001304,          0.00015825,            0.002938,            0.002938,            0.002938
                 109,            0.015795,           0.0047806,           0.0010512,             0.99632,                   1,               0.995,             0.95047,           0.0023824,            0.001336,          0.00016092,            0.002872,            0.002872,            0.002872
                 110,            0.016457,           0.0049184,            0.001049,             0.99612,                   1,               0.995,             0.95074,           0.0023039,           0.0013175,           0.0001601,            0.002806,            0.002806,            0.002806
                 111,            0.014191,           0.0049839,          0.00080415,             0.99676,                   1,               0.995,             0.94088,           0.0025262,           0.0012963,          0.00015346,             0.00274,             0.00274,             0.00274
                 112,            0.017587,           0.0049446,           0.0014635,             0.99555,                   1,               0.995,             0.94918,            0.002377,           0.0012456,           0.0001568,            0.002674,            0.002674,            0.002674
                 113,            0.018225,           0.0046798,            0.001139,             0.99592,             0.99976,               0.995,             0.95304,           0.0022134,            0.001227,          0.00015453,            0.002608,            0.002608,            0.002608
                 114,            0.018314,           0.0050022,           0.0013944,             0.99601,                   1,               0.995,              0.9527,           0.0022155,           0.0012704,          0.00015017,            0.002542,            0.002542,            0.002542
                 115,            0.016526,           0.0045447,           0.0013555,             0.99657,                   1,               0.995,              0.9497,           0.0022528,           0.0013848,            0.000141,            0.002476,            0.002476,            0.002476
                 116,            0.018278,           0.0047632,           0.0012487,             0.99676,                   1,               0.995,             0.93975,            0.002362,           0.0013694,          0.00012916,             0.00241,             0.00241,             0.00241
                 117,            0.015096,           0.0050124,          0.00087884,             0.99653,                   1,               0.995,             0.94713,           0.0022402,           0.0013058,          0.00012025,            0.002344,            0.002344,            0.002344
                 118,            0.017701,           0.0049515,          0.00091918,             0.99651,                   1,               0.995,             0.95269,           0.0022717,           0.0012592,          0.00011473,            0.002278,            0.002278,            0.002278
                 119,            0.015919,           0.0047976,           0.0011545,             0.99622,             0.99977,               0.995,             0.95218,           0.0022138,           0.0012932,           0.0001164,            0.002212,            0.002212,            0.002212
                 120,            0.015748,           0.0043827,          0.00098365,             0.99639,                   1,               0.995,             0.94571,            0.002182,            0.001285,           0.0001207,            0.002146,            0.002146,            0.002146
                 121,            0.017975,           0.0049264,           0.0012815,             0.99586,                   1,               0.995,             0.94929,           0.0021292,           0.0012494,          0.00011815,             0.00208,             0.00208,             0.00208
                 122,            0.015852,           0.0048054,          0.00099567,             0.99581,                   1,               0.995,             0.94883,           0.0022521,           0.0012704,          0.00011653,            0.002014,            0.002014,            0.002014
                 123,            0.015207,            0.004574,           0.0011113,             0.99618,                   1,               0.995,             0.94306,           0.0022126,           0.0013102,          0.00011399,            0.001948,            0.001948,            0.001948
                 124,            0.015946,            0.004493,           0.0010985,             0.99614,                   1,               0.995,             0.94767,           0.0021684,           0.0013673,          0.00011103,            0.001882,            0.001882,            0.001882
                 125,            0.015507,           0.0047987,           0.0012172,             0.99671,             0.99974,               0.995,             0.94806,           0.0022468,           0.0013244,          0.00010806,            0.001816,            0.001816,            0.001816
                 126,            0.015785,           0.0048558,           0.0021124,             0.99559,                   1,               0.995,             0.95687,           0.0021101,           0.0012341,          0.00010508,             0.00175,             0.00175,             0.00175
                 127,            0.016474,           0.0046562,          0.00088007,             0.99627,                   1,               0.995,             0.94342,           0.0021787,           0.0012509,          0.00010293,            0.001684,            0.001684,            0.001684
